x_position,y_position,composition_ratio,potential_V,current_density_mAcm2,raman_intensity_a.u.,contact_angle_deg
1,1,0.8,0.986,3.767,878.1,62.4
1,2,0.817,0.572,2.358,934.7,56.1
1,3,0.833,0.987,1.272,946.5,58.9
1,4,0.85,0.779,4.341,916.1,56
1,5,0.867,1.075,2.963,938.1,59.4
2,1,0.883,0.762,3.395,919.7,59
2,2,0.9,0.262,4.278,924.3,58.9
2,3,0.917,0.858,1.661,958.1,61.8
2,4,0.933,0.366,4.722,1017.5,59.7
2,5,0.95,0.842,1.926,1004.6,57.9
3,1,0.967,0.912,1.438,1005.7,57.1
3,2,0.983,0.066,0.531,1023.2,54.5
3,3,1,1.17,3.462,1058.2,59.7
3,4,1.017,0.732,3.091,1013.2,62.7
3,5,1.033,0.54,4.104,983.3,62.7
4,1,1.05,0.815,1.212,1009.7,63.6
4,2,1.067,0.285,0.156,983,62.5
4,3,1.083,0.859,2.003,1106.8,64.1
4,4,1.1,0.578,4.088,1064.6,59.8
4,5,1.117,1.083,4.187,1046,57.7
5,1,1.133,0.75,3.308,1098,61
5,2,1.15,0.94,1.303,1121.3,60.3
5,3,1.167,0.992,4.876,1114.8,64
5,4,1.183,0.08,3.45,1150.2,59.3
5,5,1.2,0.484,2.499,1141.7,58.9
6,3,,,3,2323,23
