x_position,y_position,composition_ratio,potential_V,current_density_mAcm2,raman_intensity_a.u.,contact_angle_deg,log_potential_v,ratio
1,1,0.8,0.986,3.767,878.1,62.4,-0.014098924379501648,14.072115384615385
1,2,0.817,0.572,2.358,934.7,56.1,-0.5586162876023393,16.661319073083778
1,3,0.833,0.987,1.272,946.5,58.9,-0.01308523954865548,16.069609507640067
1,4,0.85,0.779,4.341,916.1,56.0,-0.24974423311138874,16.35892857142857
1,5,0.867,1.075,2.963,938.1,59.4,0.07232066157962608,15.792929292929294
2,1,0.883,0.762,3.395,919.7,59.0,-0.2718087232954908,15.58813559322034
2,2,0.9,0.262,4.278,924.3,58.9,-1.3394107752210402,15.69269949066214
2,3,0.917,0.858,1.661,958.1,61.8,-0.15315117949417478,15.503236245954694
2,4,0.933,0.366,4.722,1017.5,59.7,-1.0051219455807707,17.043551088777217
2,5,0.95,0.842,1.926,1004.6,57.9,-0.17197526473981037,17.350604490500864
3,1,0.967,0.912,1.438,1005.7,57.1,-0.09211528890780563,17.612959719789842
3,2,0.983,0.066,0.531,1023.2,54.5,-2.7181005369557116,18.774311926605506
3,3,1.0,1.17,3.462,1058.2,59.7,0.1570037488096647,17.725293132328307
3,4,1.017,0.732,3.091,1013.2,62.7,-0.3119747650208255,16.159489633173845
3,5,1.033,0.54,4.104,983.3,62.7,-0.616186139423817,15.68261562998405
4,1,1.05,0.815,1.212,1009.7,63.6,-0.2045671657412744,15.875786163522013
4,2,1.067,0.285,0.156,983.0,62.5,-1.2552660987134867,15.728
4,3,1.083,0.859,2.003,1106.8,64.1,-0.1519863569978817,17.266770670826833
4,4,1.1,0.578,4.088,1064.6,59.8,-0.5481814103097596,17.80267558528428
4,5,1.117,1.083,4.187,1046.0,57.7,0.07973496801885352,18.128249566724435
5,1,1.133,0.75,3.308,1098.0,61.0,-0.2876820724517809,18.0
5,2,1.15,0.94,1.303,1121.3,60.3,-0.06187540371808753,18.59535655058043
5,3,1.167,0.992,4.876,1114.8,64.0,-0.008032171697264267,17.41875
5,4,1.183,0.08,3.45,1150.2,59.3,-2.5257286443082556,19.39629005059022
5,5,1.2,0.484,2.499,1141.7,58.9,-0.7256703722655053,19.38370118845501
6,3,0.0,0.0,3.0,2323.0,23.0,-inf,101.0
